05 Jul 10:26:01|pUtil.py    | Pilot cleanup has finished
05 Jul 10:26:11|pUtil.py    | Done, using system exit to quit
06 Jul 11:25:42|pUtil.py    | Pilot cleanup has finished
06 Jul 11:25:52|pUtil.py    | Done, using system exit to quit
06 Jul 11:59:07|pUtil.py    | Pilot cleanup has finished
06 Jul 11:59:17|pUtil.py    | Done, using system exit to quit
06 Jul 12:23:15|pUtil.py    | Pilot cleanup has finished
06 Jul 12:23:26|pUtil.py    | Done, using system exit to quit
06 Jul 12:47:29|pUtil.py    | Pilot cleanup has finished
06 Jul 12:47:40|pUtil.py    | Done, using system exit to quit
06 Jul 12:49:47|pUtil.py    | Pilot cleanup has finished
06 Jul 12:49:57|pUtil.py    | Done, using system exit to quit
06 Jul 12:57:27|pUtil.py    | Pilot cleanup has finished
06 Jul 12:57:37|pUtil.py    | Done, using system exit to quit
06 Jul 15:18:21|pUtil.py    | Pilot cleanup has finished
06 Jul 15:18:31|pUtil.py    | Done, using system exit to quit
06 Jul 15:38:46|pUtil.py    | Pilot cleanup has finished
06 Jul 15:38:56|pUtil.py    | Done, using system exit to quit
07 Jul 08:48:35|pUtil.py    | Pilot cleanup has finished
07 Jul 08:48:45|pUtil.py    | Done, using system exit to quit
07 Jul 09:46:42|pUtil.py    | Pilot cleanup has finished
07 Jul 09:46:52|pUtil.py    | Done, using system exit to quit
07 Jul 11:14:09|pUtil.py    | Pilot cleanup has finished
07 Jul 11:14:19|pUtil.py    | Done, using system exit to quit
07 Jul 11:16:07|pUtil.py    | Pilot cleanup has finished
07 Jul 11:16:17|pUtil.py    | Done, using system exit to quit
07 Jul 11:18:00|pUtil.py    | Pilot cleanup has finished
07 Jul 11:18:10|pUtil.py    | Done, using system exit to quit
07 Jul 11:50:19|pUtil.py    | Pilot cleanup has finished
07 Jul 11:50:29|pUtil.py    | Done, using system exit to quit
07 Jul 15:32:20|pUtil.py    | Pilot cleanup has finished
07 Jul 15:32:30|pUtil.py    | Done, using system exit to quit
07 Jul 15:40:55|pUtil.py    | Pilot cleanup has finished
07 Jul 15:41:05|pUtil.py    | Done, using system exit to quit
08 Jul 14:49:17|pUtil.py    | Pilot cleanup has finished
08 Jul 14:49:27|pUtil.py    | Done, using system exit to quit
09 Jul 14:04:04|pUtil.py    | Pilot cleanup has finished
09 Jul 14:04:14|pUtil.py    | Done, using system exit to quit
09 Jul 14:09:56|pUtil.py    | Pilot cleanup has finished
09 Jul 14:10:06|pUtil.py    | Done, using system exit to quit
20 Jul 09:10:58|pUtil.py    | Pilot cleanup has finished
20 Jul 09:11:08|pUtil.py    | Done, using system exit to quit
28 Jul 12:35:53|pUtil.py    | Pilot cleanup has finished
28 Jul 12:36:03|pUtil.py    | Done, using system exit to quit
28 Jul 13:00:14|pUtil.py    | Pilot cleanup has finished
28 Jul 13:00:24|pUtil.py    | Done, using system exit to quit
28 Jul 13:06:51|pUtil.py    | Pilot cleanup has finished
28 Jul 13:07:01|pUtil.py    | Done, using system exit to quit
28 Jul 13:22:16|pUtil.py    | Pilot cleanup has finished
28 Jul 13:22:26|pUtil.py    | Done, using system exit to quit
28 Jul 13:28:14|pUtil.py    | Pilot cleanup has finished
28 Jul 13:28:24|pUtil.py    | Done, using system exit to quit
28 Jul 13:45:38|pUtil.py    | Pilot cleanup has finished
28 Jul 13:45:48|pUtil.py    | Done, using system exit to quit
28 Jul 14:31:14|pUtil.py    | Pilot cleanup has finished
28 Jul 14:31:24|pUtil.py    | Done, using system exit to quit
28 Jul 14:38:27|pUtil.py    | Pilot cleanup has finished
28 Jul 14:38:38|pUtil.py    | Done, using system exit to quit
28 Jul 14:54:39|pUtil.py    | Pilot cleanup has finished
28 Jul 14:54:49|pUtil.py    | Done, using system exit to quit
29 Jul 08:05:53|pUtil.py    | Pilot cleanup has finished
29 Jul 08:06:03|pUtil.py    | Done, using system exit to quit
29 Jul 08:18:20|pUtil.py    | Pilot cleanup has finished
29 Jul 08:18:30|pUtil.py    | Done, using system exit to quit
29 Jul 08:52:17|pUtil.py    | Pilot cleanup has finished
29 Jul 08:52:27|pUtil.py    | Done, using system exit to quit
29 Jul 10:06:42|pUtil.py    | Pilot cleanup has finished
29 Jul 10:06:52|pUtil.py    | Done, using system exit to quit
25 Aug 11:46:28|pUtil.py    | Pilot cleanup has finished
25 Aug 11:46:38|pUtil.py    | Done, using system exit to quit
25 Aug 12:06:50|pUtil.py    | Pilot cleanup has finished
25 Aug 12:07:00|pUtil.py    | Done, using system exit to quit
25 Aug 13:17:25|pUtil.py    | Pilot cleanup has finished
25 Aug 13:17:35|pUtil.py    | Done, using system exit to quit
